 Borrowing dependency, Current Liability to Current Assets, Debt ratio %, Net Income to Stockholder's Equity, Net Value Per Share (A), Net profit before tax/Paid-in capital, Operating Gross Margin, Per Share Net profit before tax (Yuan ¥), Persistent EPS in the Last Four Seasons, ROA(A) before interest and % after tax, Working Capital to Total Assets,Bankrupt
0.378193758205971,0.0314904549136541,0.159990325603894,0.84058021391423,0.197336816821879,0.174911394314154,0.599194280690122,0.175943360698953,0.221045665122435,0.542847797645007,0.78500907324858,0
0.374377911931342,0.0247091545405134,0.137981074462618,0.841338866622911,0.173696852218617,0.176314003468818,0.609334236584557,0.177299088649544,0.22388200813085,0.562309201918884,0.871386736932677,0
0.373293102175659,0.0337892277308134,0.0918765305196965,0.84096909736778,0.225148539884539,0.182814267400649,0.614242061718964,0.183776455524591,0.228609246478207,0.561000872219799,0.774787395494996,0
0.379326657466287,0.0311701942196118,0.191583275387732,0.841885093737577,0.180691921958619,0.185574240253375,0.597824990270831,0.186563229645251,0.230972865651886,0.562527256868731,0.828304487897702,0
0.372542682231264,0.0332294378249709,0.155153127550866,0.840885034094273,0.194260671695251,0.177256617148028,0.60036178094236,0.178202907283272,0.2205729412877,0.54769952027911,0.79979277640638,0
0.374816309275906,0.0344302368412098,0.112616017172053,0.838941783227327,0.180607644009945,0.161737425533519,0.595266579224261,0.162536717631995,0.20497305474142,0.507359354557348,0.768061285850324,0
0.371236437082153,0.916814252922595,0.0425673428666445,0.843386454805811,0.219501917323332,0.209976623180756,0.642824197523746,0.210891014536416,0.259809019570767,0.635030527692979,0.716044670869205,0
0.372124415377011,0.0332871422014053,0.0732230855277081,0.838537616997658,0.185200792212718,0.158389261744966,0.598466394730394,0.15907207953604,0.199867637326274,0.493131269079808,0.774746297282875,0
0.370367470917033,0.0348593496465908,0.0985579103304411,0.840320612817681,0.219965446041043,0.172973380589699,0.600441055650845,0.174060405212021,0.218303866880968,0.538432184910597,0.785996394451657,0
0.36963718146295,0.0072215960726435,0.0364603803246969,0.840682132675913,0.178711390164763,0.173991403363246,0.609182893959267,0.174964223845748,0.220478396520753,0.55478630614915,0.93100502933402,0
0.369931310293614,0.0077535192902697,0.0153581038183632,0.838318924461775,0.172348405039821,0.159090566322298,0.156308104757924,0.160051216389245,0.202798525101636,0.475686873092019,0.839870853580697,0
0.377056385503363,0.021830754676625,0.134141548508027,0.840932564868318,0.183894484008259,0.176457280748058,0.6036696983237,0.177525043307976,0.222463836626643,0.554404709986917,0.818741235308347,0
0.371944359324779,0.0164037275427179,0.0872811923693201,0.840328320721753,0.170620707091989,0.17043209411055,0.609723403335303,0.171424267530316,0.216318426775078,0.539413432184911,0.849096488709084,0
0.36963718146295,0.0180370039470912,0.0926625752033135,0.840788913038497,0.17285407273187,0.173554030616092,0.610335980628144,0.174587632748362,0.219627493618228,0.550970344526821,0.894748442042114,0
0.375395620052652,0.0537148722974761,0.149348489887233,0.840075200294507,0.198811680923686,0.169685544076616,0.600311333400597,0.170671085335543,0.214522076203082,0.534779764500654,0.739762476807768,0
0.37180456425317,0.0229075179133555,0.0917556005683708,0.84095057164753,0.179427752728499,0.176185808008446,0.604923680076104,0.17714845221059,0.22189656802496,0.554023113824684,0.82301289633373,0
0.373319942829408,0.0036883984737703,0.0886718868095655,0.842606977123623,0.182630314778138,0.188884699494759,0.613312385592182,0.189877231302252,0.221802023258013,0.607882686436982,0.840712926251303,0
0.370195243388811,0.0094480310910176,0.0396952565226592,0.841530701626181,0.188445493236695,0.18380212653646,0.625571138240678,0.184755592377796,0.228420156944313,0.581879633667684,0.891185674901305,0
0.37528154727422,0.0822628047185352,0.122411343229434,0.833049958109841,0.155998482996924,0.143171706507805,0.573285864598798,0.142200798373126,0.182565944974946,0.3430004361099,0.707732465677034,0
0.371601022628908,0.0178022990763776,0.0701696042567343,0.840247559800313,0.183641650162235,0.171804539627479,0.610667493045446,0.172930631919861,0.219154769783492,0.541430440470999,0.855161202234434,0
0.371999158992849,0.0105974786353165,0.0599510233697131,0.838569412930741,0.170030761451266,0.161171857325994,0.618458034852045,0.161708217217745,0.204405786139737,0.492422590492804,0.861153483764273,0
0.36963718146295,0.0044874105737238,0.0178674003083714,0.840946949983317,0.17285407273187,0.175718271623558,0.627798036869946,0.176696542893726,0.222085657558854,0.561491495856956,0.926250173220544,0
0.377370644824339,0.0394968786255333,0.175287964446594,0.845069403471412,0.167839534785723,0.196991177135963,0.602473370904741,0.198312871883709,0.249598184740475,0.639391626689926,0.785527261608483,0
0.386276150066095,0.082731112069246,0.198083260271488,0.840315693381883,0.170410012220303,0.170665862302994,0.616029346055723,0.171650222188747,0.218303866880968,0.541648495420846,0.711601182159528,0
